id,title,genre,release_year,content_rating,tagline,director
62622,2001: A Space Odyssey,Mystery,1968,G,An epic drama of adventure and exploration,Stanley Kubrick
1187043,3 Idiots,Comedy,2009,PG-13,Don't BE A STUPID BE AN I.D.I.O.T.,Rajkumar Hirani
268978,A Beautiful Mind,Biography,2001,PG-13,I need to believe that something extra ordinary is possible....,Ron Howard
66921,A Clockwork Orange,Crime,1971,X,Being the adventures of a young man whose principal interests are rape; ultra-violence and Beethoven.,Stanley Kubrick
78748,Alien,Horror,1979,R,In space no one can hear you scream.,Ridley Scott
90605,Aliens,Action,1986,R,This Time It's War,James Cameron
86879,Amadeus,Biography,1984,R,...Everything you've heard is true,Milo Forman
169547,American Beauty,Drama,1999,R,Look closer.,Sam Mendes
120586,American History X,Crime,1998,R,Some Legacies Must End.,Tony Kaye
78788,Apocalypse Now,Drama,1979,R,This is the end...,Francis Ford Coppola
88763,Back to the Future,Adventure,1985,PG,He's the only kid ever to get into trouble before he was born.,Robert Zemeckis
372784,Batman Begins,Action,2005,PG-13,Evil fears the knight.,Christopher Nolan
83658,Blade Runner,Sci-Fi,1982,R,Man has made his match... now it's his problem.,Ridley Scott
112573,Braveheart,Action,1995,R,Every man dies.  Not every man truly lives.,Mel Gibson
112641,Casino,Biography,1995,R,No one stays at the top forever.,Martin Scorsese
71315,Chinatown,Drama,1974,R,,Roman Polanski
95016,Die Hard,Action,1988,R,40 Stories. Twelve Terrorists. One Cop.,John McTiernan
292490,Dil Chahta Hai,Comedy,2001,NOT RATED,Welcome to a summer of their lives you will never forget.,Farhan Akhtar
1853728,Django Unchained,Western,2012,R,Life; liberty and the pursuit of vengeance.,Quentin Tarantino
57012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Comedy,1964,PG,The hot-line suspense comedy,Stanley Kubrick
338013,Eternal Sunshine of the Spotless Mind,Drama,2004,R,I already forget how I used to feel about you.,Michel Gondry
116282,Fargo,Crime,1996,R,A lot can happen in the middle of nowhere.,Joel Coen
137523,Fight Club,Drama,1999,R,How much can you know about yourself if you've never been in a fight?,David Fincher
266543,Finding Nemo,Animation,2003,G,There are 3.7 trillion fish in the ocean; they're looking for one.,Andrew Stanton; Lee Unkrich
109830,Forrest Gump,Drama,1994,PG-13,The world will never be the same; once you've seen it through the eyes of Forrest Gump.,Robert Zemeckis
93058,Full Metal Jacket,Drama,1987,R,Vietnam can kill me; but it canâ€™t make me care.,Stanley Kubrick
104346,Gladiator,Action,1992,R,Nobody owns Tommy Riley. Nobody.,Rowdy Herrington
172495,Gladiator,Action,2000,R,A Hero Will Rise.,Ridley Scott
2267998,Gone Girl,Drama,2014,R,You don't know what you've got 'til it's...,David Fincher
119217,Good Will Hunting,Drama,1997,R,Some people can never believe in themselves; until someone believes in them.,Gus Van Sant
99685,Goodfellas,Biography,1990,R,Three Decades of Life in the Mafia.,Martin Scorsese
1205489,Gran Torino,Drama,2008,R,Ever come across somebody you shouldn't have messed with?,Clint Eastwood
395169,Hotel Rwanda,Drama,2004,PG-13,When the world closed its eyes; he opened his arms.,Terry George
892769,How to Train Your Dragon,Animation,2010,PG,One adventure will change two worlds,Dean DeBlois; Chris Sanders
1375666,Inception,Action,2010,PG-13,Your mind is the scene of the crime.,Christopher Nolan
97576,Indiana Jones and the Last Crusade,Action,1989,PG-13,The man with the hat is back. And this time; he's bringing his Dad.,Steven Spielberg
361748,Inglourious Basterds,Adventure,2009,R,Once upon a time in Nazi occupied France...,Quentin Tarantino
816692,Interstellar,Adventure,2014,PG-13,Mankind was born on Earth. It was never meant to die here.,Christopher Nolan
758758,Into the Wild,Adventure,2007,R,Into the heart. Into the soul.,Sean Penn
